City	Country
Abu Dhabi	United Arab Emirates
Abuja	Nigeria
Accra	Ghana
Adamstown	Pitcairn
Addis Ababa	Ethiopia
Algiers	Algeria
Alofi	Niue
Amman	Jordan
Amsterdam	Netherlands
Andorra la Vella	Andorra
Ankara	Turkey
Antananarivo	Madagascar
Apia	Samoa
Ashgabat	Turkmenistan
Asmara	Eritrea
Astana	Kazakhstan
Asunción	Paraguay
Athens	Greece
Avarua	Cook Islands
Baghdad	Iraq
Baku	Azerbaijan
Bamako	Mali
Bandar Seri Begawan	Brunei
Bangkok	Thailand
Bangui	Central African Republic
Banjul	Gambia
Basse-Terre	Guadeloupe
Basseterre	Saint Kitts and Nevis
Beijing	China
Beirut	Lebanon
Belgrade	Serbia
Belmopan	Belize
Berlin	Germany
Bern	Switzerland
Bishkek	Kyrgyzstan
Bissau	Guinea-Bissau
Bogotá	Colombia
Brasília	Brazil
Bratislava	Slovakia
Brazzaville	Republic of the Congo
Bridgetown	Barbados
Brussels	Belgium
Bucharest	Romania
Budapest	Hungary
Buenos Aires	Argentina
Bujumbura	Burundi
Cairo	Egypt
Canberra	Australia
Caracas	Venezuela
Castries	Saint Lucia
Cayenne	French Guiana
Charlotte Amalie	United States Virgin Islands
Chișinău	Moldova
Cockburn Town	Turks and Caicos Islands
Conakry	Guinea
Copenhagen	Denmark
Dakar	Senegal
Damascus	Syria
Dhaka	Bangladesh
Dili	East Timor (Timor-Leste)
Djibouti	Djibouti
Dodoma (official, legislative)	Tanzania
Doha	Qatar
Douglas	Isle of Man
Dublin	Ireland
Dushanbe	Tajikistan
Edinburgh of the Seven Seas	Tristan da Cunha
El Aioun (declared) Tifariti (de facto)	Sahrawi Arab Democratic Republic
Episkopi Cantonment	Akrotiri and Dhekelia
Flying Fish Cove	Christmas Island
Fort-de-France	Martinique
Freetown	Sierra Leone
Funafuti	Tuvalu
Gaborone	Botswana
George Town	Cayman Islands
Georgetown	Ascension Island
Georgetown	Guyana
Gibraltar	Gibraltar
Grozny	Chechnya
Guatemala City	Guatemala
Gustavia	Saint Barthélemy
Hagåtña	Guam
Hamilton	Bermuda
Hanga Roa	Easter Island
Hanoi	Vietnam
Harare	Zimbabwe
